,text,state,probability,biased words,suggestion
0,Swiss voters will head to the polls to decide whether homophobia � hate crimes or discrimination based on sexual orientation �should be criminalized.,Non-biased,0.918929398059845,homophobia,
1,"Unbelievably, with all they had seen their child suffer, his parents not only refused the doctor�s suggestion that he receive another DTaP vaccination they also declined all the other scheduled vaccinations the boy had missed.",Biased,0.9952906966209412,Unbelievably,"yet, with all they had seen their child suffer, his parents not only refused the doctor�s suggestion that he receive another DTaP vaccination they also declined all the other scheduled vaccinations the boy had missed.

but, with all they had seen their child suffer, his parents not only refused the doctor�s suggestion that he receive another DTaP vaccination they also declined all the other scheduled vaccinations the boy had missed.

unfortunately, with all they had seen their child suffer, his parents not only refused the doctor�s suggestion that he receive another DTaP vaccination they also declined all the other scheduled vaccinations the boy had missed."
2,"And while states like Massachusetts�among others�automatically cancel debt if a borrower dies or becomes disabled, New Jersey has chosen a different path, encouraging students to buy life insurance to cover their debt and take co-signers off the hook in the event of a tragedy",Biased,0.8943206071853638,,
3,"Oxford chose ""climate emergency"" as the word of the year from a short list of words that were all related to the environment, such as climate crisis, eco-anxiety, ecocide, global heating and climate action.",Non-biased,0.9609095454216003,,
4,"This, of course, was before the president ignored his national security team, withdrew U.S. forces from northern Syria, and effectively invited Turkey to launch a brutal offensive against our Kurdish allies.",Biased,0.9953726530075073,"ignored, brutal","This, of course, was before the president disbanded his national security team, withdrew U.S. forces from northern Syria, and effectively invited Turkey to launch a major offensive against our Kurdish allies.

This, of course, was before the president mobilized his national security team, withdrew U.S. forces from northern Syria, and effectively invited Turkey to launch a military offensive against our Kurdish allies.

This, of course, was before the president assembled his national security team, withdrew U.S. forces from northern Syria, and effectively invited Turkey to launch a new offensive against our Kurdish allies."
5,Polling for the Democratic nomination tells a depressing story for those seeking to break the glass ceiling and make the ultimate stand against patriarchy: the top contenders for the Democratic nomination are currently all white men.,Non-biased,0.5485150814056396,"depressing, ultimate",
6,"In another clip, the group can be seen scrambling for their cars after sirens go off, a newly added security feature.",Non-biased,0.9800612926483154,scrambling,
7,"Across the United States, legislators are attempting to pass laws forcing parents to vaccinate their children and/or removing existing exemptions from current vaccine laws.",Non-biased,0.7551159262657166,forcing,
8,"Donald Trump appeared to make some important news via Twitter last night, announcing a dramatic new plan to use Immigration and Customs Enforcement (ICE) agents to remove �millions� of people from American soil.",Non-biased,0.6202787160873413,dramatic,
9,Proponents of stricter protections for students argue the DOE�s recent rollback of Obama-era rules aimed at protecting students from predatory for-profit colleges will only lead to even more student defaulting on their loans.,Biased,0.8042038083076477,predatory,"Proponents of stricter protections for students argue the DOE�s recent rollback of Obama-era rules aimed at protecting students from entering for-profit colleges will only lead to even more student defaulting on their loans.

Proponents of stricter protections for students argue the DOE�s recent rollback of Obama-era rules aimed at protecting students from joining for-profit colleges will only lead to even more student defaulting on their loans.

Proponents of stricter protections for students argue the DOE�s recent rollback of Obama-era rules aimed at protecting students from funding for-profit colleges will only lead to even more student defaulting on their loans."
10,"While Trump has stopped short of invoking the 1807 act to use the military to enforce laws domestically, he�s kept the option open, fomenting further unrest and division. Rather than staging photo opportunities while awkwardly holding a Bible in Lafayette Square, Trump would have issued a formal proclamation calling on the insurgents to disperse if he�s serious about the application of the Insurrection Act.",Biased,0.9918204545974731,awkwardly,"While Trump has stopped short of invoking the 1807 act to use the military to enforce laws domestically, he�s kept the option open, fomenting further unrest and division. Rather than staging photo opportunities while simply holding a Bible in Lafayette Square, Trump would have issued a formal proclamation calling on the insurgents to disperse if he�s serious about the application of the Insurrection Act.

While Trump has stopped short of invoking the 1807 act to use the military to enforce laws domestically, he�s kept the option open, fomenting further unrest and division. Rather than staging photo opportunities while still holding a Bible in Lafayette Square, Trump would have issued a formal proclamation calling on the insurgents to disperse if he�s serious about the application of the Insurrection Act.

While Trump has stopped short of invoking the 1807 act to use the military to enforce laws domestically, he�s kept the option open, fomenting further unrest and division. Rather than staging photo opportunities while openly holding a Bible in Lafayette Square, Trump would have issued a formal proclamation calling on the insurgents to disperse if he�s serious about the application of the Insurrection Act."
11,Pence was the source of inspiration to pro-life activists for a second time Friday as he had addressed the March for Life rally earlier in the day when he made a surprise visit to speak to thousands of pro-life marchers participating in the annual event.,Non-biased,0.8936560750007629,"pro-life, pro-life",
12,"The bureaucrats and local would-be dictators concocting their various plans to protect us all from each other have to be relieved of their power or the police state will be permanent. So how did we get here, and how do we reclaim our liberty and the right to take risks to survive?",Biased,0.9949843287467957,concocting,"The bureaucrats and local would-be dictators for their various plans to protect us all from each other have to be relieved of their power or the police state will be permanent. So how did we get here, and how do we reclaim our liberty and the right to take risks to survive?

The bureaucrats and local would-be dictators and their various plans to protect us all from each other have to be relieved of their power or the police state will be permanent. So how did we get here, and how do we reclaim our liberty and the right to take risks to survive?

The bureaucrats and local would-be dictators in their various plans to protect us all from each other have to be relieved of their power or the police state will be permanent. So how did we get here, and how do we reclaim our liberty and the right to take risks to survive?"
13,"Bannon, who previously served as Executive Chairman of Breitbart News, has denied the false claims spewed against him mostly by those on the left.",Biased,0.8848219513893127,spewed,"Bannon, who previously served as Executive Chairman of Breitbart News, has denied the false claims filed against him mostly by those on the left."
14,"Conservative commentator Ben Shapiro wants you to know that he�s so pro-life, he wouldn�t even consider aborting baby Hitler.",Biased,0.9953071475028992,pro-life,"Conservative commentator Ben Shapiro wants you to know that he�s so young, he wouldn�t even consider aborting baby Hitler.

Conservative commentator Ben Shapiro wants you to know that he�s so stubborn, he wouldn�t even consider aborting baby Hitler.

Conservative commentator Ben Shapiro wants you to know that he�s so intelligent, he wouldn�t even consider aborting baby Hitler."
15,Social Security 2100 Act will provide an important forum to help educate the public and could puncture many of the toxic myths that have taken hold about Social Security in recent decades. ,Non-biased,0.7963922023773193,toxic myths,
16,"However, Democrats, including some of the 2020 candidates, have continued to push a narrative that Trump called white supremacists �very fine people,� when he clearly did not.",Biased,0.9785333871841431,,
17,"Semenya, a two-time Olympic champion in the 800 meters, will now be forced to medicate to suppress her testosterone levels if she wants to defend her world title in September in Doha, Qatar.",Biased,0.9814892411231995,forced,"Semenya, a two-time Olympic champion in the 800 meters, will now be required to medicate to suppress her testosterone levels if she wants to defend her world title in September in Doha, Qatar.

Semenya, a two-time Olympic champion in the 800 meters, will now be advised to medicate to suppress her testosterone levels if she wants to defend her world title in September in Doha, Qatar.

Semenya, a two-time Olympic champion in the 800 meters, will now be forced to medicate to suppress her testosterone levels if she wants to defend her world title in September in Doha, Qatar."
18,"Trump � who has been criticized for painting an overly rosy picture of the outbreak, often contradicting his own health officials ...",Biased,0.6997778415679932,overly rosy picture,"Trump � who has been criticized for painting an illustration of the outbreak, often contradicting his own health officials ...

Trump � who has been criticized for painting an account of the outbreak, often contradicting his own health officials ...

Trump � who has been criticized for painting an example of the outbreak, often contradicting his own health officials ..."
19,"Trump said he will visit the U.S.-Mexican border Thursday to promote his plan for a wall to keep out undocumented immigrants, the sticking point in negotiations with Democrats to reopen the government.",Non-biased,0.9021869897842407,,
20,"The fish are still flying at the Pike Place Market, and, though workers say things seem a little slower than usual, this famous tourist hot spot remains in full operation despite government warnings about the coronavirus. 
",Biased,0.5148677825927734,,
21,"More recently, a case this year was won against the Syrian regime of Bashar al-Assad, regarding the president�s direct involvement in the targeted killing of American journalist Marie Colvin amid the vicious civil war and dissident crackdown in 2012.",Non-biased,0.9125733971595764,vicious,
22,"his is another example of Trump�s false dichotomy between saving the economy and fighting the virus. After all, the economy isn�t going to recover if millions are sick and people are afraid to leave their houses � and early evidence from the states that have tried to �reopen� their economies makes that clear.",Biased,0.9879465699195862,,
23,"Women in power must pay a significant tax on their limited time to sit for manicures, blowouts, brow waxes, and braids, rather than meeting with constituents, reviewing legislation, conducting investigations, chasing a story, traveling to their districts, reviewing their notes, or spending time with their families.",Biased,0.995161235332489,,
24,House Republicans are gearing up for a sustained push to expose leftist Democrats in the House Democrat majority on their increasingly extreme views on abortion.,Biased,0.9864330291748047,extreme,"House Republicans are gearing up for a sustained push to expose leftist Democrats in the House Democrat majority on their increasingly radical views on abortion.

House Republicans are gearing up for a sustained push to expose leftist Democrats in the House Democrat majority on their increasingly conservative views on abortion.

House Republicans are gearing up for a sustained push to expose leftist Democrats in the House Democrat majority on their increasingly liberal views on abortion."
25,"When the men�s basketball Final Four tips off Saturday in Minneapolis, the NCAA�s biggest and most lucrative event will proceed as it normally does: the athletes on the floor for Virginia and Auburn, Michigan State and Texas Tech, will play games that generate hundreds of millions of dollars in total revenue for their schools, the NCAA and broadcast companies, the coaches and athletic directors, TV executives and NCAA suits will share in the riches but athletes themselves still won�t receive their fair share ? and thanks to a recent federal court decision, that won�t change in the immediate future. ",Non-biased,0.6535860896110535,riches,
26,"Justice Sonia Sotomayor, in her dissent, accused the majority of weaponizing the First Amendment � an unconscionable position for a person tasked with �faithfully and impartially� discharging the duty to protect the inherent rights of all Americans. The dissenters have perverted the intent of the Founders. It�s none of Sotomayor�s business how we use free expression. It�s her business to protect it.",Biased,0.9887029528617859,,
27,"Ever since, Sanders has portrayed himself as a champion of gun control.",Biased,0.968562126159668,champion,"Ever since, Sanders has portrayed himself as a advocate of gun control.

Ever since, Sanders has portrayed himself as a supporter of gun control.

Ever since, Sanders has portrayed himself as a champion of gun control."
28,"A report by the United Nations (UN) falsely blamed President Trump for the detention of 100,000 migrant children who, in fact, were held in federal immigration custody in 2015 by President Obama.",Biased,0.7219114303588867,,
29,"Some people have expressed concern that full cancellation could reward wealthier�and whiter�people, who are less in need than others. But full cancellation will reduce the racial wealth gap. ",Biased,0.9517501592636108,,
30,"The false messages that they say convinced hundreds of New Yorkers not to vaccinate their children weren�t spread in a Facebook group or on YouTube, but through a glossy magazine written by and for Orthodox Jewish parents.",Biased,0.9915892481803894,false messages,"The information that they say convinced hundreds of New Yorkers not to vaccinate their children weren�t spread in a Facebook group or on YouTube, but through a glossy magazine written by and for Orthodox Jewish parents.

The lies that they say convinced hundreds of New Yorkers not to vaccinate their children weren�t spread in a Facebook group or on YouTube, but through a glossy magazine written by and for Orthodox Jewish parents.

The message that they say convinced hundreds of New Yorkers not to vaccinate their children weren�t spread in a Facebook group or on YouTube, but through a glossy magazine written by and for Orthodox Jewish parents."
31,"Even before Trump started to make a big show out of not wearing a mask, it was common, at least in my South Philadelphia neighborhood, to see MAGA-hat-clad white men walking around without masks, delivering contemptuous sneers to the rest of us suckers who are covering our noses and mouths. ",Biased,0.9931789636611938,"MAGA-hat-clad, contemptuous sneers, suckers","Even before Trump started to make a big show out of not wearing a mask, it was common, at least in my South Philadelphia neighborhood, to see young white men walking around without masks, delivering insults to the rest of us insults who are covering our noses and mouths. 

Even before Trump started to make a big show out of not wearing a mask, it was common, at least in my South Philadelphia neighborhood, to see young white men walking around without masks, delivering drinks to the rest of us drinks who are covering our noses and mouths. 

Even before Trump started to make a big show out of not wearing a mask, it was common, at least in my South Philadelphia neighborhood, to see white white men walking around without masks, delivering insults to the rest of us insults who are covering our noses and mouths. "
32,"Since the start of the coronavirus outbreak, Trump has hampered efforts to slow the virus�s spread and encouraged Americans� restlessness under quarantine.",Non-biased,0.6314087510108948,hampered,
33,"Banks lamented that China has now become a partisan issue simply because Trump has blamed China for trying to hide the discovery of the coronavirus in Wuhan, China, and allowing it to spread to the rest of the world.",Biased,0.7806854844093323,lamented,"Banks says that China has now become a partisan issue simply because Trump has blamed China for trying to hide the discovery of the coronavirus in Wuhan, China, and allowing it to spread to the rest of the world.

Banks believes that China has now become a partisan issue simply because Trump has blamed China for trying to hide the discovery of the coronavirus in Wuhan, China, and allowing it to spread to the rest of the world.

Banks argues that China has now become a partisan issue simply because Trump has blamed China for trying to hide the discovery of the coronavirus in Wuhan, China, and allowing it to spread to the rest of the world."
34,"Reporting from Buzzfeed News Thursday evening exposed how President Donald Trump�s immigration policies led to four deaths and preventable surgeries for children held in the administration�s detention regime, including one eight-year-old boy whose forehead was partially removed.",Biased,0.573869526386261,exposed,"Reporting from Buzzfeed News Thursday evening highlighted how President Donald Trump�s immigration policies led to four deaths and preventable surgeries for children held in the administration�s detention regime, including one eight-year-old boy whose forehead was partially removed.

Reporting from Buzzfeed News Thursday evening reported how President Donald Trump�s immigration policies led to four deaths and preventable surgeries for children held in the administration�s detention regime, including one eight-year-old boy whose forehead was partially removed.

Reporting from Buzzfeed News Thursday evening discussed how President Donald Trump�s immigration policies led to four deaths and preventable surgeries for children held in the administration�s detention regime, including one eight-year-old boy whose forehead was partially removed."
35,"After threatening Iran in a series of tweets hours earlier, Trump seemed eager to lower tensions.",Non-biased,0.753663957118988,threatening,
36,"Matters worsened for him when COVID-19 hit the United States and exposed him not just as a divisive buffoon, but a cynically incompetent one. The Administration delayed its response, worried that any action they took would hurt the stock market and erode Trump�s last remaining electoral strength.",Biased,0.9928831458091736,divisive buffoon,"Matters worsened for him when COVID-19 hit the United States and exposed him not just as a communist, but a cynically incompetent one. The Administration delayed its response, worried that any action they took would hurt the stock market and erode Trump�s last remaining electoral strength.

Matters worsened for him when COVID-19 hit the United States and exposed him not just as a fraud, but a cynically incompetent one. The Administration delayed its response, worried that any action they took would hurt the stock market and erode Trump�s last remaining electoral strength.

Matters worsened for him when COVID-19 hit the United States and exposed him not just as a terrorist, but a cynically incompetent one. The Administration delayed its response, worried that any action they took would hurt the stock market and erode Trump�s last remaining electoral strength."
37,"There was no immediate confirmation from US officials about the alleged plan to slash US troop numbers in Germany and cap them at 25,000 in future. But Trump�s lukewarm support of longstanding cooperation agreements with European allies has long caused alarm on the continent.",Biased,0.5341142416000366,lukewarm,"There was no immediate confirmation from US officials about the alleged plan to slash US troop numbers in Germany and cap them at 25,000 in future. But Trump�s strong support of longstanding cooperation agreements with European allies has long caused alarm on the continent.

There was no immediate confirmation from US officials about the alleged plan to slash US troop numbers in Germany and cap them at 25,000 in future. But Trump�s ' support of longstanding cooperation agreements with European allies has long caused alarm on the continent.

There was no immediate confirmation from US officials about the alleged plan to slash US troop numbers in Germany and cap them at 25,000 in future. But Trump�s continued support of longstanding cooperation agreements with European allies has long caused alarm on the continent."
38,"Rep. Al Green (D-TX) at a hearing on Wednesday perpetuated the hoax that President Trump called white nationalists at a rally in Charlottesville, Virginia in 2017 �very fine people.�",Non-biased,0.5736895799636841,hoax,
39,"Democratic presidential hopeful Cory Booker on Monday unveiled a sweeping plan to reduce gun violence that includes establishing a national gun licensing program, limiting individual purchases of firearms to one per month, and placing�a ban on assault weapons and high-capacity magazines.",Non-biased,0.8821561932563782,,
40,"Of course, billionaires and corporations that reaped millions of dollars from the GOP tax cuts pumped some of that windfall into Republican campaigns, allowing Sen. Mitch McConnell, R-Ky., to retain control of the Senate.",Biased,0.927994430065155,,
41,"Despite a pandemic, one-sided presidential nomination contests, and nationwide protests about police violence and racial equality, the primaries were important � and instructive. ",Non-biased,0.5558362603187561,one-sided,
42,"This is one of the reasons why our politics seems so stuck. Not only do we have a hard time talking to each other, the very structure of our elections doesn�t require our politicians to even try. And when you win by turning out the base, why risk appealing to anyone else? A broken system not only elects politicians who need not listen to everyone, it actually incentivizes them to govern that way too.",Biased,0.6379978060722351,broken,"This is one of the reasons why our politics seems so stuck. Not only do we have a hard time talking to each other, the very structure of our elections doesn�t require our politicians to even try. And when you win by turning out the base, why risk appealing to anyone else? A parliamentary system not only elects politicians who need not listen to everyone, it actually incentivizes them to govern that way too.

This is one of the reasons why our politics seems so stuck. Not only do we have a hard time talking to each other, the very structure of our elections doesn�t require our politicians to even try. And when you win by turning out the base, why risk appealing to anyone else? A political system not only elects politicians who need not listen to everyone, it actually incentivizes them to govern that way too.

This is one of the reasons why our politics seems so stuck. Not only do we have a hard time talking to each other, the very structure of our elections doesn�t require our politicians to even try. And when you win by turning out the base, why risk appealing to anyone else? A democratic system not only elects politicians who need not listen to everyone, it actually incentivizes them to govern that way too."
43,"Loeffler blamed leftist media, especially the Daily Beast, for perpetuating narratives that she might have violated statutes against insider trading. She continued, noting that the media created the narrative against her because, like President Donald Trump, she is a political outsider.",Non-biased,0.7092980146408081,,
44,The demonstrators were protesting against Japanese Prime Minister Abe Shinzo�s trade restrictions against South Korea and spotlighting the century-old dispute over Imperial Japan�s use of forced labor in Korea that underlies the current economic and diplomatic crisis.,Non-biased,0.6682474613189697,,
45,"Not only do most U.S. workers not have that luxury � 29% have the option to work remotely, according to Labor Department data � many have frontline exposure to the virus because their jobs put them in front of people.",Non-biased,0.861668050289154,luxury,
46,"Jurek, a Sanders staffer in Iowa, was caught arguing that gulags were beneficial for the Soviet Union and suggesting they could be used to re-educate both Trump voters and billionaires.",Biased,0.5637727379798889,,
47,"In Europe, no government has joined Trump�s anti-Iran crusade (though John Bolton is whispering in the ear of the new Trump-loving prime minister, Boris Johnson.)",Biased,0.9882715940475464,Trump-loving,"In Europe, no government has joined Trump�s anti-Iran crusade (though John Bolton is whispering in the ear of the new us prime minister, Boris Johnson.)

In Europe, no government has joined Trump�s anti-Iran crusade (though John Bolton is whispering in the ear of the new british prime minister, Boris Johnson.)

In Europe, no government has joined Trump�s anti-Iran crusade (though John Bolton is whispering in the ear of the new conservative prime minister, Boris Johnson.)"
48,"Borrowing for everyday consumption or for assets such as cars that lose value makes it harder to save and invest in stocks and real estate that tend to create wealth, so the rise in consumer borrowing exacerbates the wealth gap.",Non-biased,0.8589654564857483,exacerbates,
49,"Republicans, however, are likely to vehemently oppose the plan to tax the wealthy.",Biased,0.5235671997070312,vehemently,"Republicans, however, are likely to also oppose the plan to tax the wealthy.

Republicans, however, are likely to still oppose the plan to tax the wealthy.

Republicans, however, are likely to heavily oppose the plan to tax the wealthy."
50,"Backlash against marginalized communities doesn�t surprise University of Southern California Professor Chris Freeman, whose work primarily focuses on 20th century gay and lesbian studies.",Biased,0.673337996006012,"Backlash, marginalized","racism against lgbt communities doesn�t surprise University of Southern California Professor Chris Freeman, whose work primarily focuses on 20th century gay and lesbian studies.

violence against lgbt communities doesn�t surprise University of Southern California Professor Chris Freeman, whose work primarily focuses on 20th century gay and lesbian studies.

discrimination against such communities doesn�t surprise University of Southern California Professor Chris Freeman, whose work primarily focuses on 20th century gay and lesbian studies."
51,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.,Biased,0.6325708031654358,,
52,"New laws in Virginia demonstrate that state lawmakers can deliver sweeping gun control measures even in a state where a vocal, well-organized opposition is fierce about protecting its guns and proud of its hunting tradition.",Non-biased,0.5748529434204102,"sweeping, fierce",
53,Miami recently declared a climate emergency since it faces an existential threat as it battles rising sea levels and increasingly violent Atlantic storms.,Biased,0.9579804539680481,,
54,"The suggestion that the use of the phrase ""ladies and gentlemen"" is a real threat to transgender individuals downplays their actual struggle for acceptance in modern America.",Biased,0.9907754063606262,downplays,"The suggestion that the use of the phrase ""ladies and gentlemen"" is a real threat to transgender individuals is their actual struggle for acceptance in modern America.

The suggestion that the use of the phrase ""ladies and gentlemen"" is a real threat to transgender individuals . their actual struggle for acceptance in modern America.

The suggestion that the use of the phrase ""ladies and gentlemen"" is a real threat to transgender individuals and their actual struggle for acceptance in modern America."
55,"Republicans will claim that they prioritize pro-life policies, and democrats will keep abortion sacrosanct.",Biased,0.9752965569496155,,
56,"Even if Trump is �unraveling� as Never Trumpers are wont to claim, his supporters won�t disappear on November 4th. George Will and the leftists many Never Trumpers now ally themselves with must reconcile their perception of the American people with reality.",Biased,0.9950885772705078,,
57,Rep. Alexandria Ocasio-Cortez (D-NY) on Tuesday blasted President Donald Trump�s border wall as a �monument to hate� and a �monument to himself.�,Non-biased,0.525502622127533,blasted,
